JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2452745.6514	12.96			V	DIL		135		PE1997				V				MRK 421		STD				
2452746.3597	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452746.422	13.5			Vis.	PYG	HKM							V				MRK 421		STD				
2452747.3653	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452747.3889	13.5			Vis.	WKL		135		030901				V				MRK 421		STD				
2452747.5898	13.2			N/A	WJD		127	135	1058+38E				V				MRK 421		STD				
2452748.3736	13.2			Vis.	JCN	K	E+3		243.01	BAAVSS			V				MRK 421		STD				
2452748.3778	13.5			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452748.406	13.7			Vis.	PYG	HK							V				MRK 421		STD				
2452748.759	13.2			Vis.	AAP		127	133	PE8/97				V				MRK 421		STD				
2452749.4188	13.8			Vis.	VJA		133	135	PE5/84				V				MRK 421		STD				
2452749.5611	13.7			Vis.	DPL		135	118	"P,E 96"				V				MRK 421		STD				
2452749.7299	13.0			V	RR		133		PE0897				V				MRK 421		STD				
2452750.308	13.7			Vis.	DPV		13.5	14.4	030901				Z				MARK 421		STD				
2452750.3889	13.1			Vis.	WKL		127	135	030901				V				MRK 421		STD				
2452750.3944	13.4			Vis.	VJA		133	135	PE5/84				V				MRK 421		STD				
2452751.3722	<13.3			Vis.	VJA		133		PE5/84				V				MRK 421		STD				
2452751.38	12.9			Vis.	HUR	HK							V				MRK 421		STD				
2452751.433	13.5			Vis.	DPV		13.5		030901				Z				MARK 421		STD				
2452752.3875	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452752.3889	13.5			Vis.	GCO		135		PE1997				V				MRK 421		STD				
2452752.425	13.1			V	NFD								V				MRK 421	KNVWS	STD				
2452752.433	13.4			Vis.	PYG	HK							V				MRK 421		STD				
2452752.7847	13.1			Vis.	AAP		127	133	PE8/97				V				MRK 421		STD				
2452753.39	13.3			Vis.	HUR	HK							V				MRK 421		STD				
2452753.3917	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452753.3986	13.5			Vis.	GCO		135		PE1997				V				MRK 421		STD				
2452753.4215	13.6			Vis.	VJA		133	135	PE5/84				V				MRK 421		STD				
2452753.6889	13.6			Vis.	KRB	Y	135	144	PE1996				V				MRK 421		STD				
2452753.6917	13.6			Vis.	SXN		135	144	PE96				V				MRK 421		STD				
2452754.4056	13.5			Vis.	GCO		135		PE1997				V				MRK 421		STD				
2452754.5694	13.3			Vis.	DPL		136		"P,E 96"				V				MRK 421		STD				
2452755.3937	13.8			Vis.	VJA		133	135	PE5/84				V				MRK 421		STD				
2452755.428	13.4			Vis.	DPV		13.3	13.5	030901				Z				MARK 421		STD				
2452756.7174	13.0			Vis.	SXN		127	133	PE96				V				MRK 421		STD				
2452757.4097	13.4			Vis.	GCO		135		PE1997				V				MRK 421		STD				
2452757.5556	13.3			Vis.	DPL		135		"P,E 96"				V				MRK 421		STD				
2452757.6361	13.13			V	DIL		127		PE1997				V				MRK 421		STD				
2452758.430	13.3			Vis.	PYG	K							V				MRK 421		STD				
2452758.5868	12.7			Vis.	TSC		127		PE1996				V				MRK 421		STD				
2452759.358	13.0			V	NFD								V				MRK 421	KNVWS	STD				
2452759.3819	13.4			Vis.	WKL		135		030901				V				MRK 421		STD				
2452759.3840	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452759.6	12.7			Vis.	TSC		127		PE1996				V				MRK 421		STD				
2452759.8042	13.3			Vis.	AAP		127	133	PE8/97				V				MRK 421		STD				
2452760.3799	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452760.5917	13.0			Vis.	TSC		127		PE1996				V				MRK 421		STD				
2452760.6181	13.15			V	DIL		127		PE1997				V				MRK 421		STD				
2452761.3882	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452762.4306	13.1			Vis.	DAM		127	135	PE1997				V				MRK 421		STD				
2452762.6528	13.2			Vis.	KRB		127	135	PE1996				V				MRK 421		STD				
2452762.6715	13.08			V	DIL		127		PE1997				V				MRK 421		STD				
2452762.6715	13.08			V	WDZ		127		PE1997				V				MRK 421		STD				
2452762.7222	13.2			Vis.	SXN		127	133	PE96				V				MRK 421		STD				
2452763.3910	13.4			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452763.4021	13.3			Vis.	GCO		135		PE1997				V				MRK 421		STD				
2452763.5854	12.6			Vis.	TSC		127	133	PE1996				V				MRK 421		STD				
2452764.3819	13.2			Vis.	WKL		135	127	030901				V				MRK 421		STD				
2452764.3986	13.3			Vis.	GCO		133		PE1997				V				MRK 421		STD				
2452764.427	13.3			Vis.	DPV		12.7	13.5	030901				Z				MARK 421		STD				
2452765.384	13.3			Vis.	DPV		12.7	13.5	030901				Z				MARK 421		STD				
2452765.40	13.2			Vis.	KVI								V				MRK 421	MCSE	STD				
2452765.414	13.3			Vis.	PYG	KM							V				MRK 421		STD				
2452766.38	13.0			Vis.	HUR	KM							V				MRK 421		STD				
2452766.3979	13.3			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452766.409	13.0			V	NFD								V				MRK 421	KNVWS	STD				
2452766.464	13.3			Vis.	DPV		12.7	13.5	030901				Z				MARK 421		STD				
2452767.3750	13.0			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452767.4042	13.3			Vis.	MUY		13.3-13.5		PE0796				V				MRK 421		STD				
2452771.438	13.3			Vis.	PYG	KM							V				MRK 421		STD				
2452771.6150	12.9			V	RSE		133		E0496				V				MRK 421		STD				
2452772.432	13.2			Vis.	PYG	KM							V				MRK 421		STD				
2452773.3833	13.1			Vis.	MUY		12.7-13.3		PE0796				V				MRK 421		STD				
2452773.6208	13.07			V	DIL	HM	127		PE1997				V				MRK 421		STD				
2452773.6785	12.8			Vis.	SXN		121	127	PE96				V				MRK 421		STD				
2452774.3750	13.0			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452774.3889	13.1			Vis.	MUY		12.7-13.3		PE0796				V				MRK 421		STD				
2452774.433	13.2			Vis.	PYG	KM							V				MRK 421		STD				
2452775.3924	13.1			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452778.3854	13.1			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452779.5860	12.59			V	RSE		133		E0496				V				MRK 421		STD				
2452779.5944	13.3			Vis.	TSC		133	135	PE1996				V				MRK 421		STD				
2452779.7653	13.0			Vis.	AAP		127	133	PE8/97				V				MRK 421		STD				
2452780.6965	12.8			Vis.	SXN		121	127	PE96				V				MRK 421		STD				
2452781.3785	13.1			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452781.6431	13.16			V	DIL		127		PE1997				V				MRK 421		STD				
2452781.6431	13.16			V	WDZ		127		PE1997				V				MRK 421		STD				
2452781.7153	12.9			Vis.	SXN		121	127	PE96				V				MRK 421		STD				
2452782.3889	13.0			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452783.3889	13.0			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452784.449	13.1			Vis.	PYG	K							V				MRK 421		STD				
2452785.4042	13.0			Vis.	MUY		12.7-13.3		PE0796				V				MRK 421		STD				
2452785.42	13.2			Vis.	HUR	K							V				MRK 421		STD				
2452785.7014	12.9			Vis.	SXN		121	127	PE96				V				MRK 421		STD				
2452788.3854	13.3			Vis.	KSF		133	135	030901				V				MRK 421		STD				
2452789.391	13.2			Vis.	DPV		12.7	13.5	030901				Z				MARK 421		STD				
2452789.4083	13.0			Vis.	MUY		12.7-13.3		PE0796				V				MRK 421		STD				
2452790.419	13.2			Vis.	DPV		12.7	13.5	030901				Z				MARK 421		STD				
2452790.699	12.9			V	GFB		134	103	PE97				V				MRK 421		STD				
2452791.45	13.3			Vis.	PYG	HK							V				MRK 421		STD				
2452793.4292	13.1			Vis.	JCN	K	E+4		243.01	BAAVSS			V				MRK 421		STD				
2452793.487	13.1			Vis.	PYG	HK							V				MRK 421		STD				
2452795.4160	13.2			Vis.	JCN	K	E+3		243.01	BAAVSS			V				MRK 421		STD				
2452797.5639	13.2			Vis.	DPL		135		"P,E 96"				V				MRK 421		STD				
2452800.5603	13.09			V	RSE		144		E0496	SE:0.003			V				MRK 421		STD				
2452801.43	12.9			Vis.	HUR	KM							V				MRK 421		STD				
2452803.490	13.2			Vis.	PYG	KM							V				MRK 421		STD				
2452806.44	13.5			Vis.	HUR	KL							V				MRK 421		STD				
2452810.694	12.7			V	GFB		127	144	PE97				V				MRK 421		STD				
2452811.44	12.8			Vis.	HUR	BKL							V				MRK 421		STD				
2452811.7319	12.9			Vis.	KRB		127	135	PE1996				V				MRK 421		STD				
2452814.460	13.1			Vis.	PYG	K							V				MRK 421		STD				
2452820.6243	12.91			V	DIL		127		PE1997				V				MRK 421		STD				
2452827.6243	12.86			V	DIL		127		PE1997				V				MRK 421		STD				
2452827.6243	12.86			V	WDZ		127		PE1997				V				MRK 421		STD				
2452829.431	13.1			Vis.	PYG	KM							V				MRK 421		STD				
2452830.442	13.2			Vis.	PYG	KT							V				MRK 421		STD				
2452833.442	13.1			Vis.	PYG	KM							V				MRK 421		STD				
2452834.437	13.3			Vis.	PYG	KM							V				MRK 421		STD				
2452835.438	13.3			Vis.	PYG	KM							V				MRK 421		STD				
2452836.444	13.3			Vis.	PYG	CK							V				MRK 421		STD				
2452839.431	13.2			Vis.	PYG	K							V				MRK 421		STD				
2452840.424	13.3			Vis.	PYG	K							V				MRK 421		STD				
2452841.616	12.84			V	WDZ		134		PE1997				V				MRK 421		STD				
2452842.442	13.2			Vis.	PYG	K							V				MRK 421		STD				
2452846.421	13.3			Vis.	PYG	K							V				MRK 421		STD				
2452850.6139	12.82			V	DIL		127		PE1997				V				MRK 421		STD				
2452934.998	12.8			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452936.008	12.7			V	JM		121	127	 SEF0309				V				MRK 421		STD				
2452936.992	12.8			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452937.990	12.8			V	JM		127	129	 SEF0309				V				MRK 421		STD				
2452941.991	12.9			V	JM		127	129	 SEF0309				V				MRK 421		STD				
2452942.977	13.0			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452943.979	12.8			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452945.000	12.6			V	JM		118	127	 SEF0309				V				MRK 421		STD				
2452945.968	12.8			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452946.969	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452947.995	12.6			V	JM		118	127	 SEF0309				V				MRK 421		STD				
2452948.984	12.8			V	JM		127	129	 SEF0309				V				MRK 421		STD				
2452949.4653	12.9			Vis.	WKL		127		030901				V				MRK 421		STD				
2452949.974	12.8			V	JM		127	129	 SEF0309				V				MRK 421		STD				
2452950.9222	12.7			Vis.	SXN	Y	121	127	SE03	ACTIVE			V				MRK 421		STD				
2452953.969	12.8			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452959.955	12.8			V	JM		127	129	 SEF0309				V				MRK 421		STD				
2452962.017	12.8			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452962.948	12.8			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452963.919	12.7			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452964.914	12.8			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452965.945	13.0			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452967.5667	13.4			Vis.	PYG								V				MRK 421		STD				
2452967.919	13.0			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452969.4583	12.7			Vis.	WKL		127		030901				V				MRK 421		STD				
2452970.937	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452971.908	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452972.996	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452973.916	13.0			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452974.4583	12.7			Vis.	WKL		127		030901				V				MRK 421		STD				
2452974.893	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452975.681	13.5			Vis.	DPV		13.4	13.5	030901				Z				MARK 421		STD				
2452975.895	12.9			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452976.908	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452976.9208	13.5			Vis.	SXN		135	129	SE03				V				MRK 421		STD				
2452977.879	13.0			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452978.6215	13.3			Vis.	GCO		127	135	PE1997				V				MRK 421		STD				
2452978.882	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452979.6389	13.4			Vis.	GCO		135	133	PE1997				V				MRK 421		STD				
2452979.905	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452979.9139	13.8			Vis.	SXN		135	144	SE03				V				MRK 421		STD				
2452980.7264	13.2			Vis.	MUY		127	133	SE0903				V				MRK 421		STD				
2452980.884	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452983.882	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452984.861	13.3			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452986.8028	13.6			Vis.	SXN		135	144	SE03				V				MRK 421		STD				
2452986.888	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452987.877	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452988.524	13.4			Vis.	PYG	M							V				MRK 421		STD				
2452988.860	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452989.849	13.2			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452990.856	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452991.7486	13.2			Vis.	MUY		127	133	SE0903				V				MRK 421		STD				
2452991.847	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452992.868	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452993.8256	13.3			Vis.	PVA		135	144	SF030901				V				MRK 421		STD				
2452993.838	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452994.838	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2452995.851	13.2			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452996.834	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2452997.590	13.4			Vis.	DPV		13.3	13.5	030901				Z				MARK 421		STD				
2452997.8826	13.22			V	DIL		127		PE1997				V				MRK 421		STD				
2452999.003	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453000.830	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453001.888	13.2			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453007.026	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453007.4931	12.9			Vis.	WKL		127		030901				V				MRK 421		STD				
2453007.804	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453008.797	13.0			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453009.851	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453011.045	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453011.789	13.1			V	JM		127	134	 SEF0309				V				MRK 421		STD				
2453013.987	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453014.780	13.0			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453015.778	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453017.982	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453019.512	13.7			Vis.	PYG	K							V				MRK 421		STD				
2453021.518	13.4			Vis.	PYG	K							V				MRK 421		STD				
2453022.4792	13.2			Vis.	WKL		135	127	030901				V				MRK 421		STD				
2453022.5000	13.0			Vis.	DAM		127		PE1997				V				MRK 421		STD				
2453023.4479	13.1			Vis.	OJR								V				MRK 421		STD				
2453023.960	13.1			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453024.754	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453025.4736	13.1			Vis.	OJR								V				MRK 421		STD				
2453025.761	13.0			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453026.4556	13.2			Vis.	OJR								V				MRK 421		STD				
2453026.4722	13.1			Vis.	WKL		135	127	030901				V				MRK 421		STD				
2453027.7361	13.3			Vis.	SXN		135	144	SE03				V				MRK 421		STD				
2453028.4201	13.4			Vis.	KSF		133	135	030901				V				MRK 421		STD				
2453029.476	13.2			Vis.	PYG	K							V				MRK 421		STD				
2453031.733	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453032.922	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453033.4507	12.9			Vis.	OJR	Y				Used CONVERTV at HQ			V				MRK 421		STD				
2453033.4965	13.0			Vis.	GCO	H	128	135	E2003				V				MRK 421		STD				
2453033.501	13.2			Vis.	PYG	KMW							V				MRK 421		STD				
2453034.3458	13.1			Vis.	MUY		127	133	SE0903				V				MRK 421		STD				
2453034.4583	13.3			Vis.	WKL		135		030901				V				MRK 421		STD				
2453034.4708	13.1			Vis.	GCO		133	128	E2003				V				MRK 421		STD				
2453034.727	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453035.4653	13.1			Vis.	WKL		127	135	030901				V				MRK 421		STD				
2453035.911	12.9			V	JM		127	133	 SEF0309				V				MRK 421		STD				
2453037.718	12.9			V	JM		-27	133	SEF0309				V				MRK 421		STD				
2453038.923	12.9			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453039.4444	13.1			Vis.	WKL		135	127	030901				V				MRK 421		STD				
2453040.4514	12.9			Vis.	WKL		127		030901				V				MRK 421		STD				
2453040.912	13.0			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453042.895	12.9			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453043.708	12.9			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453044.5194	13.3			Vis.	PYG	M							V				MRK 421		STD				
2453044.700	12.9			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453044.8771	12.8			V	RR		133		PE0897				V				MRK 421		STD				
2453045.2986	12.8			Vis.	NDQ		118	133	SE030901				V				MRK 421	AFOEV	STD				
2453045.3257	13.1			Vis.	MUY		127	133	SE0903				V				MRK 421		STD				
2453045.7812	12.7			V	RR		127	133	PE0897				V				MRK 421		STD				
2453046.5097	12.9			Vis.	OJR								V				MRK 421		STD				
2453046.711	12.8			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453046.7882	12.8			Vis.	RR		127	133	PE0897				V				MRK 421		STD				
2453047.4361	12.9			Vis.	GCO		128	135	E2003				V				MRK 421		STD				
2453047.689	12.8			V	JM		127	133	SEF0309				V				MRK 421		STD				
2453048.4535	12.9			Vis.	OJR								V				MRK 421		STD				
2453049.8056	12.7			V	JM		121	127	SEF0309				V				MRK 421		STD				
2453049.8389	12.5			Vis.	RR		127		PE0897				V				MRK 421		STD				
2453050.6878	12.7			V	JM		118	127	SEF0309				V				MRK 421		STD				
2453051.3021	12.5			Vis.	VJA		121	127	SE030901				V				MRK 421		STD				
2453051.441	13.1			Vis.	OJR								V				MRK 421		STD				
2453051.7417	12.5			Vis.	SXN	Y	121	127	SE03	ACTIVE			V				MRK 421		STD				
2453052.4514	12.4			Vis.	WKL		121	127	030901				V				MRK 421		STD				
2453052.4590	12.6			Vis.	MUY	Y	121	127	SE0903	ACTIVE			V				MRK 421		STD				
2453053.2965	12.5			Vis.	VJA	Y	121	127	SE030901				V				MRK 421		STD				
2453053.4653	12.4			Vis.	WWJ		118	127E	PE 8/97				V				MRK 421		STD				
2453053.4938	12.4			Vis.	PYG								V				MRK 421		STD				
2453053.6299	13.0			Vis.	TDB		133	127	SE03	      =			V				MRK 421		STD				
2453053.6805	12.6			V	JM		118	127	SEF0309				V				MRK 421		STD				
2453053.7556	12.5			Vis.	SXN	Y	121	127	SE03	ACTIVE			V				MRK 421		STD				
2453054.4375	12.3			Vis.	WKL		121		030901				V				MRK 421		STD				
2453054.6870	12.6			V	JM		118	127	SEF0309				V				MRK 421		STD				
2453054.7264	12.5			Vis.	MUY	Y	121	127	SE0903	ACTIVE			V				MRK 421		STD				
2453055.3632	12.5			Vis.	MUY	Y	121	127	SE0903	ACTIVE			V				MRK 421		STD				
2453055.4528	12.9			Vis.	CPQ	K	D	E	BAA				V				MRK 421		STD				
2453055.4688	12.7			Vis.	WWJ		127E	135	PE 8/97				V				MRK 421		STD				
2453055.8187	12.7			V	JM		121	127	SEF0309				V				MRK 421		STD				
2453056.3056	12.5			Vis.	VJA	Y	121	127	SE030901				V				MRK 421		STD				
2453056.3347	12.6			Vis.	NDQ		118	133	SE030901				V				MRK 421	AFOEV	STD				
2453056.3583	12.6			Vis.	MUY	Y	121	127	SE0903	ACTIVE			V				MRK 421		STD				
2453056.4375	12.3			Vis.	WKL		121	127	030901				V				MRK 421		STD				
2453057.4792	12.8			Vis.	WWJ		127	133	PE 8/97				V				MRK 421		STD				
2453058.3889	12.5			Vis.	PYG								V				MRK 421		STD				
